AgeGroup,Count,Percentage,TotalPublications
Child,16,0.7210455159981974,2219
Adolescent,35,1.5772870662460567,2219
Aged,1066,48.0396575033799,2219
Adult,269,12.122577737719693,2219
MiddleAged,790,35.60162235241099,2219
Infant,7,0.31545741324921134,2219
YoungAdult,36,1.622352410995944,2219
